,Total,Subtotal,Discount,P_Sevice,delivery_delay_days,delivery_lead_time,freight_share,discount_abs
Total,1.0,0.9922231427002189,-0.13340673465938627,0.03767221382597145,0.04817024286626592,0.007712373204303036,-0.5195496145251156,0.4076401828282006
Subtotal,0.9922231427002189,1.0,-0.025576022618959474,0.040552038386573494,0.050591827196679165,-0.002522403095809858,-0.5218844157209963,0.5177470163497156
Discount,-0.13340673465938627,-0.025576022618959474,1.0,-0.00604789635260202,0.06068327047534837,-0.0852455126477385,0.05757474116470431,0.732839074578133
P_Sevice,0.03767221382597145,0.040552038386573494,-0.00604789635260202,1.0,0.10872170361593131,0.004094126388337222,0.2789295309813969,0.041276450711106485
delivery_delay_days,0.04817024286626592,0.050591827196679165,0.06068327047534837,0.10872170361593131,1.0,0.006259942345732753,-0.03760967786138422,0.042523526077968325
delivery_lead_time,0.007712373204303036,-0.002522403095809858,-0.0852455126477385,0.004094126388337222,0.006259942345732753,1.0,-0.005347387236152485,-0.06942851348862907
freight_share,-0.5195496145251156,-0.5218844157209963,0.05757474116470431,0.2789295309813969,-0.03760967786138422,-0.005347387236152485,1.0,-0.25814063846023394
discount_abs,0.4076401828282006,0.5177470163497156,0.732839074578133,0.041276450711106485,0.042523526077968325,-0.06942851348862907,-0.25814063846023394,1.0
